Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),MAT,MWMT,MCMT,DD_0,DD5,DD_18,DD18,NFFD,Mean_depth,Max_depth,Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort.ha,CaughtFish,Caught.ha,CPUE,Other_Info,Classification,Fetch..m.,Minimum Travel Time,Guiding,Provincial.Park.Campgrounds.and.Rec.Sites,Private.Lots,Lodges.and.Marinas,Permits.and.Leases.for.Camps.and.Cabins,Indian.Reserves,FN.netting,Comment,Exploitation_Rank,Road.Surface,ROAD_ACCES,Distance.to.Nearest.Road..m.,Time.to.Nearest.Road..minutes.,ROAD_NAM_1,Length.of.Nearest.Road.Segment..m.,ROAD_CLASS
Canim Lake,01447MAHD,Cariboo,-120.7533861,51.86038178,768,5580.96675,4.4,15.5,-8.2,822,1336,4958,37,158,76,208.5,4.24153473,243,3.197368421,PR,NA,NA,NA,NA,NA,,,22943.75857,0.98,No,0,471,3,0,1,No,"Ponderosa Resort,  Canim Lake Resort, and Rainbow Resort",5,rough,Known Road Acess,0.63,4.29,,714.22,unclassified
Canyon,YT_Canyon,Yukon,-137.013194,61.1272,899,870,-1.6,12.7,-14.6,2009,681,7112,6,118,4.9,14,0.043,72,14.69387755,PR,NA,NA,NA,NA,NA,,General Regulations,11073.00551,1.35,No,Yes,Yes,Yes,Yes,No,No,"Small lake, moderate yield, small population, easy access, moderate pressure",5,Unpaved,Known Road Acess,14.63,0.28,None,140.16,Local / Str*
Captain Lake,01138LRAN,Skeena,-129.6925627,59.75458876,954,182.6628892,-2.1,11.9,-17.3,2166,651,7317,5,113,17,69,0.031052691,266,15.64705882,NR,NA,NA,NA,NA,NA,,,3385.304291,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Carbon Lake,00213PCEA,Peace,-122.5678158,55.97639011,925,62.94090234,0.9,13.3,-12.6,1461,912,6215,12,142,13,26,0.008182317,157,12.07692308,FR,NA,NA,NA,NA,NA,,,3543.608904,1.17,No,2,0,0,1,0,Yes,may have been periodic harvest/netting here by FN. FN lodge bldg on site,3,rough,Known Road Acess,66.71,0.19,,32.21,unclassified
Cariboo Lake,00560CARR,Cariboo,-121.3331645,52.78266692,813,1010.366112,4.1,15.2,-8.2,839,1246,5074,31,158,18,NA,0.1818659,108,6,FR,NA,NA,NA,NA,NA,,,13021.68307,2.58,No,1,24,0,0,0,No,,3,rough,Known Road Acess,35.74,0.78,,130.41,unclassified
Caribou,YT_Caribou,Yukon,-134.266032,60.526,818,51,-1.7,12.7,-18.1,2123,738,7150,7,117,7.26,28,0.002,241.6666667,33.28741966,PR,89,1.745098039,8,0.156862745,0.08988764,Overharvested,Special Management Water,1618.353923,0.05,No,Yes,Yes,No,No,Yes,No,"Very small lake, extremely low yield, small population, high pressure for its size, overharvested",4,Unpaved,Possible Road Access,2357.85,1.26,None,630.18,Local / Str*
Caribou Lake,00523CRYL,Skeena,-129.1809549,58.63773699,1193,260.6369392,-1.6,10.4,-14.5,1819,523,7120,3,106,18,50,0.046914649,28,1.555555556,NR,NA,NA,NA,NA,NA,,,4880.064309,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Carina Lake,00131MESI,Omineca,-124.9852997,56.48794432,846,218.8870047,0.4,13.1,-14.6,1590,853,6408,10,132,5,25,0.01094435,82,16.4,NR,NA,NA,NA,NA,NA,,,6328.691462,5.73,No,0,0,0,0,0,No,,4,loose,Possible Road Access,3111.34,1.61,,1075.67,unclassified
Chadburn,YT_Chadburn,Yukon,-134.95377,60.6476,664,185,-1.3,13.4,-18.1,2102,830,7017,10,129,15,43,0.028,735,49,PR,NA,NA,NA,NA,NA,,Special Management Water,2893.233899,0.34,No,Yes,Yes,Yes,Yes,No,No,"Small lake, low yield, small population, easy access, likely moderate pressure",5,Unpaved,Known Road Acess,12.78,0.57,Chadburn Lake Road,285.78,Local / Str*
Chain (Central),YT_Chain Central,Yukon,-135.597166,61.8054,610,64,-2.7,13.6,-21.2,2552,818,7509,10,116,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,1336.032717,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Chain (North),YT_Chain North,Yukon,-135.621169,61.8404,608,262,-2.7,13.7,-21.8,2567,827,7516,11,118,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,6036.354208,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Chain (South),YT_Chain South,Yukon,-135.532798,61.7902,602,210,-2.6,13.3,-19.9,2474,780,7470,9,115,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2333.358088,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Chapman Lake,00726BABL,Skeena,-126.6680253,54.92033839,787,670.5836327,2.2,13.1,-10.2,1092,914,5752,12,144,13,28.73,0.087175872,63,4.846153846,FR,NA,NA,NA,NA,NA,,,7326.548908,0.97,No,1,1,0,2,0,No,Aspen Bay rental cabins,3,loose,Known Road Acess,61.38,1.38,,919.08,unclassified
Cheslatta Lake,00398CHES,Skeena,-125.3767672,53.74143221,770,4301.22959,2.7,13.9,-10.2,1065,1033,5585,17,149,27,86.33,1.161331989,NA,NA,FR,NA,NA,NA,NA,NA,,,37888.83507,1.9,Yes,0,14,0,1,0,No,,2,rough,Known Road Acess,74.97,11.75,,1958.06,unclassified
Chismaina Lake,01505TESR,Skeena,-131.8283039,59.10909501,793,636.9133005,-1,12.6,-16.8,1884,755,6894,7,123,9,29,0.057322197,118,13.11111111,NR,NA,NA,NA,NA,NA,,,6239.154513,NA,No,0,0,0,1,0,No,non-tenured cabin,1,NA,NA,NA,NA,NA,NA,NA
Chootla,YT_Chootla,Yukon,-134.62717,60.2099,722,157,-3,10.8,-18.8,2323,522,7630,3,97,NA,NA,NA,NA,NA,PR,NA,NA,NA,NA,NA,,,3219.203956,0.09,No,No,No,No,No,No,No,0,4,Paved,Possible Road Access,279.28,0.32,Tagish Road,483.08,Expressway *
Chuchi Lake,01158NATR,Omineca,-124.6371268,55.17151035,869,4573.016879,0.9,12.9,-12.9,1433,850,6227,10,135,22,78,1.006063713,49,2.227272727,FR,NA,NA,NA,NA,NA,,,27138.3688,2.66,No,5,45,0,2,0,No,Probably a few more informal rec sites than published.,3,rough,Possible Road Access,208.38,2.51,,418.82,unclassified
Claire (South/North),YT_Claire South/North,Yukon,-135.338135,61.8758,722,2040,-2.1,13.4,-19.1,2330,791,7312,9,120,52.9,104,1.078,153,2.892249527,NR,NA,NA,NA,NA,NA,Fishing Camp  ,Conservation Water,20293.42603,NA,Yes,No,No,Yes,Yes,No,No,"Medium-size lake, moderate yield, small population, remote, moderate pressure ",2,NA,NA,NA,NA,NA,NA,NA
Cluculz Lake,01091NECR,Omineca,-123.5782916,53.87956588,767,1943.681737,2.9,14.6,-11,1121,1147,5516,24,154,29,60,0.563667704,118,4.068965517,PR,NA,NA,NA,NA,NA,,,15964.34555,0.52,No,2,912,1,0,0,No,2 access points (1 public boat launch; 1 for car toppers),5,rough,Known Road Acess,43.12,2.59,,431.35,unclassified
Coal,YT_Coal,Yukon,-135.1646,60.4991,1212,NA,-1.6,11.3,-15.6,1903,565,7141,4,116,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2490.630932,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Coghlan,YT_Coghlan,Yukon,-135.485262,61.5453,735,823,-2.9,12.8,-19.3,2517,724,7585,7,107,23.8,58,0.196,304,12.77310924,NR,NA,NA,NA,NA,NA,Fishing Lodge  ,Conservation Water,11513.67337,NA,Yes,No,No,Yes,Yes,No,No,"Small lake, moderate-low yield, medium-sized population, relatively remote, moderate pressure ",2,NA,NA,NA,NA,NA,NA,NA
Cold Fish Lake,00051SPAT,Skeena,-128.8162413,57.67989869,1230,803.4176512,-1.2,9.7,-12.5,1634,463,6992,3,103,21,55.7,0.168717707,68,3.238095238,NR,NA,NA,NA,NA,NA,,,10489.29392,NA,Yes,0,1,0,2,0,No,"outfitter cabins, Provincial Park cabins",2,NA,NA,NA,NA,NA,NA,NA
Cold Water (Cub) Lake,00958UJER,Skeena,-130.8694699,59.4359554,1128,255.6087309,-2.5,10.9,-17.4,2168,542,7459,3,107,7,24.5,0.017892611,78,11.14285714,NR,NA,NA,NA,NA,NA,,,4535.985988,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Connolly,YT_Connolly,Yukon,-132.157753,62.5324,1136,514,-3.4,12.2,-21.2,2570,620,7787,5,105,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,5994.265615,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Cook Lake,00335DEAL,Skeena,-129.74799,59.1946304,954,22.99334738,-1.8,11.7,-16.4,2043,632,7206,5,115,13,37.8,0.002989135,54,4.153846154,NR,NA,NA,NA,NA,NA,,,1426.29077,0.67,No,0,2,0,0,0,No,,4,rough,Known Road Acess,88.85,2.4,,399.3,unclassified
Cookie Bite Lake,00926UJER,Skeena,-130.7365505,59.45775706,1189,107.0429109,-2.6,10.5,-16.7,2151,494,7504,3,104,6.21,NA,0.006647365,NA,NA,NR,NA,NA,NA,NA,NA,,,2327.809123,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Cottonwood Lake,02069LRAN,Skeena,-130.3116019,59.43252434,1394,80.52048959,-3.1,9.4,-15.6,2180,389,7680,2,97,5.49,NA,0.004420575,NA,NA,NR,NA,NA,NA,NA,NA,,,3088.240012,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Crag,YT_Crag,Yukon,-134.509209,60.2373,758,567,-1.8,12.1,-17.7,2075,683,7199,6,114,15.1,38,0.085,121,8.013245033,PR,NA,NA,NA,NA,NA,,General Regulations,5789.694686,0.22,No,Yes,No,Yes,Yes,No,No,"Small lake, moderate-low yield, small population, easy access, moderate pressure",4,Unpaved,Known Road Acess,72.72,1.96,None,978.36,Local / Str*
Crescent,YT_Crescent,Yukon,-131.227272,60.19,1153,16,-3.9,9.6,-18.1,2453,391,7975,2,89,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,1587.986057,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Cry Lake,00394CRYL,Skeena,-128.9871768,58.74998022,1174,2482.854866,-1.5,10.5,-14.1,1801,523,7102,3,107,76,152,1.886969698,40,0.526315789,NR,NA,NA,NA,NA,NA,"Possibly fished, citation: http://www.huntingbc.ca/forum/showthread.php?93312-Cry-lake-info",,24018.59294,NA,Yes,0,0,0,2,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Crystal,YT_Crystal,Yukon,-136.085313,63.2373,882,173,-4.5,13,-23.9,3030,692,8173,7,105,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2801.733337,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Cunningham Lake,00725STUL,Omineca,-125.3977945,54.59043135,742,3148.923121,2.4,13.7,-10.5,1109,996,5680,15,152,25,64.9,0.78723078,124,4.96,FR,NA,NA,NA,NA,NA,,,19901.93278,2.43,Yes,1,0,0,1,4,No,informal rec site on south shore; boat access,2,rough,Known Road Acess,131.11,8.2,,1366.32,unclassified
Dalayee,YT_Dalayee,Yukon,-133.646613,60.3329,970,1060,-2.7,11.2,-18.8,2254,549,7538,4,98,17.3,36,0.183,115,6.647398844,FR,NA,NA,NA,NA,NA,Fishing Camp  ,General Regulations,9985.546197,0.52,No,Yes,No,Yes,Yes,No,No,"Medium-size lake, moderate yield, medium-sized population, fairly remote, moderate pressure",4,Unpaved,Possible Road Access,4404.14,1.91,None,952.87,Local / Str*
Dall Lake,00435TURN,Peace,-127.6361498,58.59409844,784,949.3223654,-0.8,13.3,-17.2,2010,878,6848,11,126,10,38,0.094932237,54,5.4,NR,NA,NA,NA,NA,NA,"Probably fished, citation: http://muskwa-kechika.com/uploads/documents/wildlife-fish/MK%20Historical%20Fish%20Overview%202000.pdf",,11031.43944,NA,Yes,0,0,0,1,0,No,non-tenured cabins,2,NA,NA,NA,NA,NA,NA,NA
Deadwood Lake,01251LKEC,Peace,-128.3900842,59.08853007,890,1338.509904,-1,13,-16.6,1990,809,6915,9,123,15.91,NA,0.212956926,232,14.58202388,NR,NA,NA,NA,NA,NA,"Possibly fished, citation: http://www.alaskahighwaynews.ca/regional-news/consultation-on-hunting-changes-botched-environmental-group-1.2165471",,15296.62934,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
